State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall_mm,Production,Yield_kg_per_ha
Punjab,Ludhiana,2008,Rainy,Rice,11001.8,587.6,37118.62,3373.9
Punjab,Ludhiana,2008,Winter,Wheat,2791.3,104.0,10122.82,3626.6
Punjab,Ludhiana,2008,Rainy,Maize,7932.8,631.0,24389.87,3074.6
Punjab,Ludhiana,2008,Winter,Maize,11111.2,188.9,37749.1,3397.4
Punjab,Ludhiana,2008,Summer,Maize,9870.0,126.8,30122.27,3051.9
Punjab,Ludhiana,2008,Whole Year,Sugarcane,1774.0,672.1,159669.43,90004.7
Punjab,Ludhiana,2008,Rainy,Cotton(lint),7260.6,647.0,3592.21,494.8
Punjab,Ludhiana,2008,Rainy,Jowar,7381.9,723.4,7781.5,1054.1
Punjab,Ludhiana,2008,Winter,Jowar,10129.2,151.9,11507.04,1136.0
Punjab,Ludhiana,2008,Rainy,Bajra,9723.3,674.8,12184.63,1253.1
Punjab,Ludhiana,2008,Rainy,Groundnut,5951.0,625.6,9096.67,1528.6
Punjab,Ludhiana,2008,Winter,Groundnut,12515.9,181.0,20697.39,1653.7
Punjab,Ludhiana,2008,Summer,Groundnut,4702.1,75.7,8135.51,1730.2
Punjab,Ludhiana,2008,Rainy,Soyabean,10172.6,694.6,13172.96,1294.9
Punjab,Ludhiana,2008,Winter,Mustard,8466.7,169.5,12403.29,1464.9
Punjab,Ludhiana,2008,Winter,Gram,8894.4,188.6,11554.82,1299.1
Punjab,Ludhiana,2008,Rainy,Tur,9156.5,654.1,9103.17,994.2
Punjab,Ludhiana,2008,Rainy,Jute,6721.3,562.6,17900.82,2663.3
Punjab,Ludhiana,2008,Whole Year,Banana,3004.7,611.7,150217.27,49993.4
Punjab,Ludhiana,2008,Winter,Onion,5242.9,136.5,80547.5,15363.2
Punjab,Ludhiana,2008,Rainy,Onion,3793.0,629.9,74965.28,19764.3
Punjab,Ludhiana,2008,Winter,Potato,4928.0,183.8,104746.54,21255.3
Punjab,Ludhiana,2008,Summer,Moong,11431.9,85.5,9018.92,788.9
Punjab,Ludhiana,2008,Rainy,Moong,3466.9,573.5,2533.15,730.7
Punjab,Ludhiana,2009,Rainy,Rice,8569.7,679.8,29031.0,3387.6
Punjab,Ludhiana,2009,Winter,Wheat,8634.2,149.7,34559.03,4002.6
Punjab,Ludhiana,2009,Rainy,Maize,9827.1,631.4,31217.05,3176.6
Punjab,Ludhiana,2009,Winter,Maize,6473.0,151.6,19318.96,2984.5
Punjab,Ludhiana,2009,Summer,Maize,6122.4,110.2,20955.96,3422.8
Punjab,Ludhiana,2009,Whole Year,Sugarcane,4303.8,678.8,384494.57,89339.3
Punjab,Ludhiana,2009,Rainy,Cotton(lint),6306.8,644.1,3360.71,532.9
Punjab,Ludhiana,2009,Rainy,Jowar,2211.6,548.8,2114.01,955.9
Punjab,Ludhiana,2009,Winter,Jowar,9599.1,132.6,9590.63,999.1
Punjab,Ludhiana,2009,Rainy,Bajra,13196.9,627.3,13265.42,1005.2
Punjab,Ludhiana,2009,Rainy,Groundnut,4265.5,694.3,7070.51,1657.6
Punjab,Ludhiana,2009,Winter,Groundnut,6643.9,134.0,11937.83,1796.8
Punjab,Ludhiana,2009,Summer,Groundnut,9737.7,52.6,15418.17,1583.3
Punjab,Ludhiana,2009,Rainy,Soyabean,2215.8,614.4,3110.98,1404.0
Punjab,Ludhiana,2009,Winter,Mustard,8930.7,146.6,12918.18,1446.5
Punjab,Ludhiana,2009,Winter,Gram,7042.6,210.6,7736.8,1098.6
Punjab,Ludhiana,2009,Rainy,Tur,8880.0,660.8,9549.63,1075.4
Punjab,Ludhiana,2009,Rainy,Jute,9427.5,700.1,31241.64,3313.9
Punjab,Ludhiana,2009,Whole Year,Banana,2348.4,578.7,93190.67,39681.8
Punjab,Ludhiana,2009,Winter,Onion,1022.0,150.8,20481.45,20041.2
Punjab,Ludhiana,2009,Rainy,Onion,852.5,636.7,14480.09,16984.5
Punjab,Ludhiana,2009,Winter,Potato,5008.6,171.9,133894.41,26732.8
Punjab,Ludhiana,2009,Summer,Moong,9657.6,173.3,6583.94,681.7
Punjab,Ludhiana,2009,Rainy,Moong,9070.8,522.1,6736.92,742.7
Punjab,Ludhiana,2010,Rainy,Rice,5551.6,625.1,17428.19,3139.3
Punjab,Ludhiana,2010,Winter,Wheat,8628.2,194.5,32525.99,3769.7
Punjab,Ludhiana,2010,Rainy,Maize,1301.3,587.9,4232.85,3252.9
Punjab,Ludhiana,2010,Winter,Maize,15071.7,160.9,52626.82,3491.8
Punjab,Ludhiana,2010,Summer,Maize,6002.8,123.1,18167.2,3026.4
Punjab,Ludhiana,2010,Whole Year,Sugarcane,2194.6,592.1,223112.9,101664.8
Punjab,Ludhiana,2010,Rainy,Cotton(lint),11354.0,600.7,5587.91,492.2
Punjab,Ludhiana,2010,Rainy,Jowar,9539.8,705.9,10589.63,1110.0
Punjab,Ludhiana,2010,Winter,Jowar,5380.8,161.3,6325.76,1175.6
Punjab,Ludhiana,2010,Rainy,Bajra,3097.6,622.7,2848.67,919.6
Punjab,Ludhiana,2010,Rainy,Groundnut,14316.4,660.4,24865.82,1736.9
Punjab,Ludhiana,2010,Winter,Groundnut,9143.3,158.9,17634.04,1928.6
Punjab,Ludhiana,2010,Summer,Groundnut,6356.3,103.2,12086.43,1901.5
Punjab,Ludhiana,2010,Rainy,Soyabean,14143.0,675.7,20442.03,1445.4
Punjab,Ludhiana,2010,Winter,Mustard,2527.4,125.8,4258.98,1685.1
Punjab,Ludhiana,2010,Winter,Gram,7281.9,214.2,8658.04,1189.0
